Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2020;EFC;Álcool;Itaqui Base Combustível;MA;Açailândia;MA;86;44.978
01/2020;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;38.466;33.542.352
01/2020;EFC;Escória;Açailândia;MA;Ponta da Madeira;MA;6.038;3.097.494
01/2020;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;14.399;7.569.554
01/2020;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;11.916;8.945.341
01/2020;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;5.372;2.809.556
01/2020;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;6.901;5.161.948
01/2020;EFC;Manganês;Carajás;PA;Ponta da Madeira;MA;79.224;70.588.584
01/2020;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;11.376;8.539.963
01/2020;EFC;Máquinas, Motores, Peças e acessórios;Itaqui Base Combustível;MA;Açailândia;MA;48;25.104
01/2020;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;11.330;5.812.290
01/2020;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;111.304;42.072.912
01/2020;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;32.894;5.032.782
01/2020;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;7.701.364;6.861.915.324
01/2020;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;6.500.383;6.151.871.465
01/2020;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;23.883;12.490.809
01/2020;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;30.293;22.659.164
01/2020;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;2.508;603.419
01/2020;EFPO;Contêiner Cheio de 40 Pés;Guarapuava;PR;Cascavel;PR;52;12.901
01/2020;EFPO;Soja;Cascavel;PR;Agrária;PR;884;212.688
01/2020;EFPO;Soja;Cascavel;PR;D Pedro II;PR;14.741;10.831.670
01/2020;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;11.838;9.961.307
01/2020;EFPO;Veículos;Cascavel;PR;Agrária;PR;15;3.608
01/2020;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;22.982;9.953.756
01/2020;EFVM;Carvão Mineral;Ouro Branco;MG;Intendente Câmara;MG;2.364;562.076
01/2020;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;7.635;3.999.930
