Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2021;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;8.003;192.656
01/2021;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;20.347;13.042.872
01/2021;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;32.244;45.332.062
01/2021;EFVM;Fosfato;Tubarão;ES;Eng. Adelmar;MG;5.365;5.184.709
01/2021;EFVM;Máquinas, Motores, Peças e acessórios;Pedro Nolasco;ES;Pedreira Rio das Velhas;MG;19;12.271
01/2021;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;72.125;43.464.760
01/2021;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;236.741;128.717.737
01/2021;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;859.553;501.990.119
01/2021;EFVM;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;124.628;27.031.559
01/2021;EFVM;Minério de Ferro;Capitão Eduardo;MG;Mário Carvalho;MG;14.966;3.039.205
01/2021;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.065.301;579.004.934
01/2021;EFVM;Minério de Ferro;Fazendão;MG;Tubarão;ES;999.164;593.991.006
01/2021;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;1.096.012;594.121.795
01/2021;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;26.646;11.909.029
01/2021;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;313.579;210.372.624
01/2021;EFVM;Minério de Ferro;Pedreira Rio das Velhas;MG;Tubarão;ES;31.627;20.351.247
01/2021;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;10.800;784.447
01/2021;EFVM;Minério de Ferro;Timbopeba;MG;Piraqueaçu;ES;36.722;19.767.709
01/2021;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;381.780;233.245.052
01/2021;EFVM;Minério de Ferro;Tubarão;ES;Intendente Câmara;MG;8.746;3.787.988
01/2021;EFVM;Minério de Ferro;Tubarão;ES;Mário Carvalho;MG;11.996;5.361.432
01/2021;EFVM;Minério de Ferro;Tubarão;ES;Ouro Branco;MG;13.528;9.075.610
01/2021;EFVM;Outros - adubos e Fertilizantes;Tubarão;ES;Brejo Alegre;MG;15.786;22.193.645
01/2021;EFVM;Pedras em Blocos e Placas;Colatina;ES;Tubarão;ES;2.465;318.542
01/2021;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Pedro Nolasco;ES;1.508;821.059
01/2021;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Tubarão;ES;905;490.578
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;14.695;3.187.313
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;10.267;2.293.955
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Couto e Silva;MG;2.063;523.909
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;40.558;10.113.730
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Lafaiete Bandeira;MG;28.502;6.349.236
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;12.802;5.544.684
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Capitão Eduardo;MG;3.535;717.862
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Lafaiete Bandeira;MG;26.406;17.319.057
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Nova Granja;MG;2.924;1.991.132
01/2021;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Parque Industrial;MG;5.449;3.661.616
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Aracruz;ES;5.546;2.778.656
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Capitão Eduardo;MG;10.142;1.251.065
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Eldorado;MG;15.166;2.188.843
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Governador Valadares;MG;7.495;1.530.027
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Parque Industrial;MG;1.350;196.186
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Tubarão;ES;1.512;796.300
01/2021;EFVM;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Tubarão;ES;2.577;1.728.845
01/2021;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Capitão Eduardo;MG;10.025;2.174.397
01/2021;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Carreira Comprida;MG;3.983;889.921
01/2021;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Lafaiete Bandeira;MG;14.630;3.259.045
01/2021;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Tubarão;ES;8.638;3.741.212
01/2021;EFVM;Prd. Siderúrgicos - Outros;Mário Carvalho;MG;Capitão Eduardo;MG;269;54.626
01/2021;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Pedro Nolasco;ES;2.360;1.588.914
01/2021;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Tubarão;ES;11.825;7.933.106
01/2021;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Lafaiete Bandeira;MG;4.487;999.546
01/2021;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Governador Valadares;MG;1.077;347.347
01/2021;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Intendente Câmara;MG;56.234;24.355.563
01/2021;EFVM;Prd. Siderúrgicos - Tarugo;Ouro Branco;MG;Tubarão;ES;7.354;4.933.621
01/2021;EFVM;Toras de Madeira;Desembargador Drumond;MG;Frederico Selow;MG;25.255;2.743.551
01/2021;EFVM;Toras de Madeira;Eng. Costa Lacerda;MG;Frederico Selow;MG;39.261;6.704.600
01/2021;EFVM;Ureia;Tubarão;ES;Brejo Alegre;MG;56.806;79.918.721
01/2021;FCA;Açúcar;Guará;SP;Estação TUF;SP;82.738;52.944.467
01/2021;FCA;Açúcar;Mato Seco;SP;Santos;SP;22.175;8.173.727
01/2021;FCA;Açúcar;Ribeirão Preto;SP;Santos;SP;71.868;39.918.213
01/2021;FCA;Açúcar;Terminal Integrador Uberaba;MG;Estação TUF;SP;1.400;1.127.036
01/2021;FCA;Areia;Ipameri;GO;Brasília;DF;3.499;1.017.908
01/2021;FCA;Bauxita;Bauxita;MG;Alumínio;SP;24.677;6.904.501
01/2021;FCA;Bauxita;Brasília;DF;Alumínio;SP;81.774;94.390.828
01/2021;FCA;Cal;Nova Granja;MG;Porto de Aratu;BA;8.905;13.937.490
01/2021;FCA;Calcário Siderúrgico;Arcos;MG;Barra Mansa;RJ;76.804;35.829.680
01/2021;FCA;Calcário Siderúrgico;Batista Almeida;MG;Intendente Câmara;MG;13.438;7.302.598
01/2021;FCA;Calcário Siderúrgico;Matozinhos;MG;Intendente Câmara;MG;29.610;8.109.320
01/2021;FCA;Calcário Siderúrgico;Nova Granja;MG;Tubarão;ES;45.214;30.789.015
01/2021;FCA;Cimento a Granel;Wilson Lobato;MG;Candeias;BA;1.920;2.943.012
01/2021;FCA;Clínquer;Arcos;MG;Barra Mansa;RJ;39.112;18.246.060
01/2021;FCA;Cloreto de Potássio;Fosfago;GO;Final Ramal das Fábricas;SP;35.380;36.159.492
01/2021;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Calcario;RJ;5.230;2.496.320
01/2021;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Tubarão;ES;5.090;4.970.588
01/2021;FCA;Contêiner Cheio de 20 Pés;General Curado;GO;Replan;SP;43;41.845
01/2021;FCA;Contêiner Cheio de 20 Pés;Nova Granja;MG;Tubarão;ES;43.586;29.680.409
01/2021;FCA;Contêiner Cheio de 40 Pés;Eldorado;MG;Copec;BA;1.490;2.491.944
01/2021;FCA;Contêiner Cheio de 40 Pés;Replan;SP;General Curado;GO;2.366;2.302.491
01/2021;FCA;Cromita;Campo Formoso;BA;Irapui;BA;4.945;1.905.743
01/2021;FCA;Cromita;Itiuba;BA;Irapui;BA;20.101;6.070.079
01/2021;FCA;Dolomita;Arcos;MG;Barra Mansa;RJ;58.484;27.283.252
01/2021;FCA;Enxofre;Conceiçãozinha;SP;Fosfago;GO;17.571;17.992.791
01/2021;FCA;Enxofre;Estação TUF;SP;Fosfago;GO;131;132.161
01/2021;FCA;Enxofre;Estação TUF;SP;Valefertil;MG;38.332;26.638.896
01/2021;FCA;Farelo de Soja;Ipameri;GO;Santos;SP;8.724;9.017.667
01/2021;FCA;Ferro Gusa;Paulo Menicucci;MG;Pedro Nolasco;ES;6.615;5.471.874
01/2021;FCA;Ferro Gusa;Paulo Menicucci;MG;Tubarão;ES;9.282;7.655.782
01/2021;FCA;Ferro Gusa;Prudente de Morais;MG;Aroaba;ES;1.800;1.257.915
01/2021;FCA;Ferro Gusa;Prudente de Morais;MG;Intendente Câmara;MG;21.000;6.035.631
01/2021;FCA;Ferro Gusa;Prudente de Morais;MG;Pedro Nolasco;ES;14.833;10.722.995
01/2021;FCA;Ferro Gusa;Prudente de Morais;MG;Tubarão;ES;20.703;14.916.961
01/2021;FCA;Fosfato;Catalão;GO;Valefertil;MG;59.103;17.910.750
01/2021;FCA;Gasolina;Candeias;BA;Montes Claros;MG;3.620;3.875.553
01/2021;FCA;Gasolina;Embiruçu;MG;Governador Valadares;MG;4.598;1.655.104
01/2021;FCA;Gasolina;Replan;SP;Brasília;DF;1.772;1.864.791
01/2021;FCA;Gasolina;Replan;SP;Estação Pool;GO;5.891;6.021.672
01/2021;FCA;Grãos - Milho;Terminal Integrador Uberaba;MG;Conceiçãozinha;SP;682;559.354
01/2021;FCA;LAB - Sulfonato de alquilbenzeno linear;Copec;BA;Vespasiano;MG;2.309;3.723.508
01/2021;FCA;Magnesita;Catiboaba;BA;Parque Industrial;MG;12.011;12.309.796
01/2021;FCA;Magnesita;Catiboaba;BA;Porto de Aratu;BA;8.711;5.280.973
01/2021;FCA;Minério de Ferro;Licínio de Almeida;BA;Capitão Eduardo;MG;36.212;31.357.527
01/2021;FCA;Minério de Ferro;Silva Oliveira;MG;Intendente Câmara;MG;152.371;47.138.101
01/2021;FCA;Minério de Ferro;Terminal de Patrocínio;MG;Terminal de Fosfatados;MG;350.475;67.869.834
01/2021;FCA;Óleo Diesel;Candeias;BA;Montes Claros;MG;9.511;10.182.427
01/2021;FCA;Óleo Diesel;Embiruçu;MG;Governador Valadares;MG;2.962;1.066.206
01/2021;FCA;Óleo Diesel;Replan;SP;Brasília;DF;12.897;13.572.360
01/2021;FCA;Óleo Diesel;Replan;SP;Estação Pool;GO;5.521;5.643.465
01/2021;FCA;Soja;Terminal Integrador Uberaba;MG;Conceiçãozinha;SP;27.526;22.575.834
01/2021;FCA;Soja;Terminal Integrador Uberaba;MG;Estação TUF;SP;30.822;24.767.084
01/2021;FNSTN;Álcool;Porto Nacional;TO;Itaqui Base Combustível;MA;579;721.144
01/2021;FNSTN;Celulose;Ponta da Madeira;MA;Suzano;MA;55;33.269
01/2021;FNSTN;Celulose;Suzano;MA;Pátio Esso;MA;124.990;76.940.594
01/2021;FNSTN;Gasolina;Itaqui Base Combustível;MA;Porto Nacional;TO;11.210;13.962.053
01/2021;FNSTN;Óleo Diesel;Itaqui Base Combustível;MA;Porto Nacional;TO;36.838;45.881.726
01/2021;FNSTN;Outros - Comb e derivado -  Perigoso;Porto Nacional;TO;Itaqui Base Combustível;MA;1.491;1.857.040
01/2021;FNSTN;Soja;Palmeirante;TO;Ponta da Madeira Pêra do Píer;MA;37.722;36.843.074
01/2021;FTC;Carvão Mineral;Mina Novo Horizonte;SC;Capivari;SC;21.141;1.168.272
01/2021;FTC;Carvão Mineral;Rio Fiorita;SC;Capivari;SC;131.309;10.346.821
01/2021;FTC;Carvão Mineral;Urussanga;SC;Capivari;SC;47.940;3.090.574
01/2021;FTC;Contêiner Cheio de 20 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;16.930;1.804.771
01/2021;FTC;Contêiner Cheio de 40 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;8.075;860.811
01/2021;FTC;Contêiner Vazio de 20 Pés;Imbituba;SC;Eng. Paz Ferreira;SC;1.922;204.889
01/2021;FTC;Contêiner Vazio de 40 Pés;Imbituba;SC;Eng. Paz Ferreira;SC;482;51.382
01/2021;FTL;Álcool;Itaqui;MA;Itarare;PI;594;275.397
01/2021;FTL;Areia;Aracapé;CE;Crateus;CE;10;4.381
01/2021;FTL;Areia;Aracapé;CE;São Luis - Tirirical;MA;40;47.345
01/2021;FTL;Areia;Aracapé;CE;Sobral;CE;30;6.917
01/2021;FTL;Areia;Aracapé;CE;Teresina;PI;46;33.603
01/2021;FTL;Celulose;Pátio Esso;MA;Itaqui;MA;126.648;253.296
01/2021;FTL;Cimento acondicionado;Pecem;CE;São Luis - Tirirical;MA;1.980;2.306.468
01/2021;FTL;Cimento acondicionado;Pecem;CE;Teresina;PI;2.279;1.615.544
01/2021;FTL;Cimento acondicionado;Poty;CE;Mucuripe;CE;15.804;4.020.347
01/2021;FTL;Cimento acondicionado;Poty;CE;Teresina;PI;8.760;4.397.555
01/2021;FTL;Cimento acondicionado;Teresina;PI;Pecem;CE;112;79.394
01/2021;FTL;Clínquer;Poty;CE;Pátio ABL;MA;9.807;9.393.674
01/2021;FTL;Contêiner Cheio de 20 Pés;Pecem;CE;Aracapé;CE;1.377;79.342
01/2021;FTL;Contêiner Cheio de 40 Pés;São Luis - Tirirical;MA;Aracapé;CE;4;4.746
01/2021;FTL;Contêiner Vazio de 40 Pés;São Luis - Tirirical;MA;Aracapé;CE;4;4.746
01/2021;FTL;Contêiner Vazio de 40 Pés;São Luis - Tirirical;MA;Pecem;CE;4;4.659
01/2021;FTL;Coque;Mucuripe;CE;Poty;CE;5.788;1.472.397
01/2021;FTL;Demais Produtos;Aracapé;CE;Pecem;CE;5;288
01/2021;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;AMV km 26 Itaqui;MA;220;7.293
01/2021;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;Coroatá;MA;240;41.958
01/2021;FTL;Demais Produtos;Codó;MA;Crateus;CE;4;1.832
01/2021;FTL;Demais Produtos;Coroatá;MA;Aracapé;CE;1;949
01/2021;FTL;Demais Produtos;São Luis - Tirirical;MA;Aracapé;CE;1;1.183
01/2021;FTL;Demais Produtos;São Luis - Tirirical;MA;Teresina;PI;3;1.368
01/2021;FTL;Demais Produtos;Teresina;PI;Aracapé;CE;1;730
01/2021;FTL;Demais Produtos;Teresina;PI;Carga Ferro Gusa e Cruz;MA;2;794
01/2021;FTL;Demais Produtos;Teresina;PI;Oficina Demostenes Rockert;CE;30;21.930
01/2021;FTL;Demais Produtos;Teresina;PI;Pecem;CE;15;10.633
01/2021;FTL;Dormentes de Madeira;AMV km 26 Itaqui;MA;Crateus;CE;32;23.119
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Altos;PI;16;7.874
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Castelo;PI;48;29.597
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Caxias Nova;MA;16;5.990
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Codó;MA;16;4.598
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Coroatá;MA;16;3.741
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Cristino Cruz;MA;16;6.534
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Croatá;CE;32;35.665
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Ibiapaba;CE;48;34.143
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Itapecuru Mirim;MA;20;2.547
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Itapipoca Novo;CE;32;33.460
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Miraíma;CE;16;16.041
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Nova Russas;CE;16;12.922
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Reriutaba;CE;16;14.341
01/2021;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Rosário;MA;12;842
01/2021;FTL;Farinha de Trigo;Mucuripe;CE;Teresina;PI;270;205.251
01/2021;FTL;Gasolina;Itaqui;MA;Itarare;PI;15.654;7.250.148
01/2021;FTL;Gasolina;Itaqui;MA;Teresina;PI;4.460;2.051.812
01/2021;FTL;Óleo Diesel;Itaqui;MA;Itarare;PI;29.977;13.876.333
01/2021;FTL;Óleo Diesel;Itaqui;MA;Teresina;PI;5.188;2.385.425
01/2021;FTL;Pallets de Madeira;São Luis - Tirirical;MA;Pecem;CE;106;123.477
01/2021;FTL;Pallets de Madeira;Teresina;PI;Pecem;CE;43;30.481
01/2021;FTL;Pó de Pedra;Carga Ferro Gusa e Cruz;MA;Água Branca;PI;363;215.708
01/2021;FTL;Pó de Pedra;Carga Ferro Gusa e Cruz;MA;Castelo;PI;227;125.928
01/2021;FTL;Prd. Siderúrgicos - Bobina - BF;Pecem;CE;Teresina;PI;9.592;7.975.756
01/2021;MRS;Açúcar;Airosa Galvão;SP;Santos;SP;12.860;6.563.242
01/2021;MRS;Açúcar;Itirapina;SP;Santos;SP;103.685;40.730.369
01/2021;MRS;Açúcar;Pradopolis;SP;Santos;SP;27.156;14.656.758
01/2021;MRS;Areia;Cruzeiro;SP;Mooca;SP;14.875;3.484.260
01/2021;MRS;Areia;Curuputuba;SP;Mooca;SP;6.565;1.113.036
01/2021;MRS;Areia;Roseira;SP;Água Branca;SP;9.698;1.789.785
01/2021;MRS;Areia;Roseira;SP;Mooca;SP;6.519;1.161.620
01/2021;MRS;Bauxita;Barão de Angra;RJ;Alumínio;SP;36.548;24.811.450
01/2021;MRS;Carvão Mineral;Baia Sepetiba;RJ;Volta Redonda;RJ;119.085;14.170.638
01/2021;MRS;Celulose;São Silvestre;SP;Barnabé;SP;62.480;6.307.980
01/2021;MRS;Celulose;São Silvestre;SP;Santos;SP;15.848;1.768.161
01/2021;MRS;Cimento a Granel;Barbacena;MG;Santo André;SP;22.608;14.969.118
01/2021;MRS;Cimento a Granel;Pedra do Sino;MG;São Bento;SP;32.770;21.353.751
01/2021;MRS;Cimento acondicionado;Pedra do Sino;MG;Arará;RJ;18.976;10.067.489
01/2021;MRS;Cimento acondicionado;Volta Redonda;RJ;Arará;RJ;24.273;3.511.404
01/2021;MRS;Cimento acondicionado;Volta Redonda;RJ;Capuava;SP;3.728;1.342.367
01/2021;MRS;Cimento acondicionado;Volta Redonda;RJ;São José dos Campos;SP;9.116;2.151.293
01/2021;MRS;Cimento acondicionado;Wilson Lobato;MG;Eng. São Paulo;SP;1.274;1.069.223
01/2021;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Eldorado;MG;1.999;1.284.578
01/2021;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;MultiTerminais;RJ;7;1.392
01/2021;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Parque Industrial;MG;114;73.142
01/2021;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Prudente de Morais;MG;1.434;1.071.423
01/2021;MRS;Contêiner Cheio de 20 Pés;Barnabé;SP;Curuputuba;SP;823;167.898
01/2021;MRS;Contêiner Cheio de 20 Pés;Barnabé;SP;Edmar Alves;SP;1.565;244.074
01/2021;MRS;Contêiner Cheio de 20 Pés;Brisamar;RJ;Eldorado;MG;117;71.597
01/2021;MRS;Contêiner Cheio de 20 Pés;Brisamar;RJ;Itatiaia;RJ;75;12.919
01/2021;MRS;Contêiner Cheio de 20 Pés;Brisamar;RJ;Nova Granja;MG;20;13.538
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Boa Vista Velha;SP;608;115.076
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Cragea;SP;90;4.804
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Curuputuba;SP;4.977;1.055.975
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Edmar Alves;SP;3.883;637.281
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Eng. Neiva;SP;1.513;367.058
01/2021;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Jundiaí;SP;2.766;379.113
01/2021;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Barnabé;SP;1.920;391.695
01/2021;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Brisamar;RJ;7.327;2.106.768
01/2021;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Conceiçãozinha;SP;6.644;1.409.663
01/2021;MRS;Contêiner Cheio de 20 Pés;Eldorado;MG;Arará;RJ;4.076;2.375.496
01/2021;MRS;Contêiner Cheio de 20 Pés;Eldorado;MG;Brisamar;RJ;1.512;834.826
01/2021;MRS;Contêiner Cheio de 20 Pés;Itutinga;MG;Arará;RJ;238;83.642
01/2021;MRS;Contêiner Cheio de 20 Pés;Itutinga;MG;Brisamar;RJ;3.521;1.129.445
01/2021;MRS;Contêiner Cheio de 20 Pés;Jundiaí;SP;Barnabé;SP;17;2.191
01/2021;MRS;Contêiner Cheio de 20 Pés;Jundiaí;SP;Conceiçãozinha;SP;720;98.684
01/2021;MRS;Contêiner Cheio de 20 Pés;Parque Industrial;MG;Arará;RJ;4.104;2.387.709
01/2021;MRS;Contêiner Cheio de 20 Pés;Parque Industrial;MG;Brisamar;RJ;251;138.334
01/2021;MRS;Contêiner Cheio de 20 Pés;Prudente de Morais;MG;Arará;RJ;55;37.804
01/2021;MRS;Contêiner Cheio de 20 Pés;Santos;SP;Boa Vista Velha;SP;43;8.243
01/2021;MRS;Contêiner Cheio de 20 Pés;Santos;SP;Cragea;SP;499;27.860
01/2021;MRS;Contêiner Cheio de 20 Pés - Perigoso;Conceiçãozinha;SP;Eng. Neiva;SP;2.477;600.925
01/2021;MRS;Contêiner Cheio de 20 Pés - Perigoso;Eng. Neiva;SP;Conceiçãozinha;SP;180;43.668
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Edmar Alves;SP;1.283;469.901
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Eldorado;MG;98;62.975
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Itatiaia;RJ;392;79.548
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;MultiTerminais;RJ;2.668;530.635
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Parque Industrial;MG;167;107.148
01/2021;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Prudente de Morais;MG;84;62.761
01/2021;MRS;Contêiner Cheio de 40 Pés;Barnabé;SP;Boa Vista Velha;SP;408;73.892
01/2021;MRS;Contêiner Cheio de 40 Pés;Barnabé;SP;Curuputuba;SP;2.474;504.715
01/2021;MRS;Contêiner Cheio de 40 Pés;Barnabé;SP;Jundiaí;SP;1.594;205.464
01/2021;MRS;Contêiner Cheio de 40 Pés;Boa Vista Velha;SP;Conceiçãozinha;SP;1.369;259.111
01/2021;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Floriano;RJ;880;124.540
01/2021;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Itatiaia;RJ;776;133.676
01/2021;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Parque Industrial;MG;94;57.428
01/2021;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Prudente de Morais;MG;68;48.721
01/2021;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Cragea;SP;889;60.724
01/2021;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Curuputuba;SP;5.838;1.238.654
01/2021;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Jundiaí;SP;3.196;438.050
01/2021;MRS;Contêiner Cheio de 40 Pés;Cragea;SP;Conceiçãozinha;SP;56;2.989
01/2021;MRS;Contêiner Cheio de 40 Pés;Eldorado;MG;Arará;RJ;1.346;784.449
01/2021;MRS;Contêiner Cheio de 40 Pés;Eldorado;MG;Brisamar;RJ;170;93.862
