Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2021;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;40.964;35.720.608
01/2021;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;21.026;11.053.368
01/2021;EFC;Ferro Gusa;Marabá;PA;Itaqui;MA;29.002;21.771.046
01/2021;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;7.025;3.674.075
01/2021;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;8.269;6.185.212
01/2021;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;3.930;2.950.251
01/2021;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;11.990;6.150.870
01/2021;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;195.701;73.974.978
01/2021;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;29.957;4.583.421
01/2021;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;9.478.144;8.445.026.304
01/2021;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;6.856.572;6.488.963.748
01/2021;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;21.060;11.014.380
01/2021;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;28.892;21.611.216
01/2021;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;175;130.900
01/2021;EFPO;Soja;Cascavel;PR;Agrária;PR;1.611;387.603
01/2021;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;7.255;4.867.205
01/2021;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;7.540;3.950.160
01/2021;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;150.236;65.068.860
01/2021;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;180.498;121.091.776
01/2021;EFVM;Carvão Mineral;Tubarão;ES;Prudente de Morais;MG;36.362;26.199.619
01/2021;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;24;8.893
01/2021;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;107.740;39.925.535
01/2021;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;19.851;27.916.951
01/2021;EFVM;Contêiner Cheio de 20 Pés;Tubarão;ES;Nova Granja;MG;3.884;2.644.855
01/2021;EFVM;Coque;Tubarão;ES;Brasília;DF;2.053;3.750.909
01/2021;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;21.081;15.189.324
01/2021;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;30.393;15.922.710
01/2021;EFVM;Escória;Intendente Câmara;MG;Vespasiano;MG;913;221.587
